Main_AA,Sub_AA,Rlab_PTSCwScore
Phenylalanine,Glutamic acid,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m6
Phenylalanine,Glycine,APT_DF:m3|ICP_DF:m3|ECP_DF:m3|MEP_DF:m5
Phenylalanine,Histidine,APT_DF:m1|ICP_DF:m1|ECP_DF:m1|MEP_DF:m3
Phenylalanine,Isoleucine,APT_N:0|ICP_N:0|ECP_N:0|MEP_DF:m1
Phenylalanine,Leucine,APT_N:0|ICP_F:1|ECP_N:0|MEP_F:1
Phenylalanine,Lysine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m5
Phenylalanine,Methionine,APT_N:0|ICP_F:1|ECP_N:0|MEP_N:0
Phenylalanine,Phenylalanine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:4
Phenylalanine,Proline,APT_DF:m4|ICP_DF:m2|ECP_DF:m2|MEP_DF:m4
Phenylalanine,Serine,APT_DF:m2|ICP_DF:m2|ECP_DF:m2|MEP_DF:m1
Phenylalanine,Threonine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m2
Phenylalanine,Tryptophan,APT_F:1|ICP_F:1|ECP_F:1|MEP_DF:m3
Phenylalanine,Tyrosine,APT_F:3|ICP_F:2|ECP_F:2|MEP_F:2
Phenylalanine,Valine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m1
Proline,Alanine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Proline,Arginine,APT_DF:m2|ICP_N:0|ECP_N:0|MEP_DF:m3
Proline,Asparagine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m2
Proline,Aspartic acid,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m2
Proline,Cysteine,APT_DF:m3|ICP_DF:m2|ECP_DF:m6|MEP_DF:m4
Proline,Glutamine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Proline,Glutamic acid,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m3
Proline,Glycine,APT_DF:m2|ICP_N:0|ECP_N:0|MEP_DF:m1
Proline,Histidine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m4
